"Code";"Habitat";"Age";"Surface";"Buchholzia";"Buchholzia fallax";"Enchytraeidae";"Enchytraeus";"Enchytraeus japonensis";"Enchytraeus luxuriosus";"Fridericia";"Fridericia tuberosa";"Henlea cf. andreae PDW-2010";"Henlea ventriculosa";"Hormogastridae";"Vignysa";"Vignysa teres";"Aporrectodea";"Aporrectodea nocturna";"Aporrectodea rosea";"Bimastos";"Bimastos parvus";"Eisenia andrei";"Eisenia fetida";"Eiseniella tetraedra";"Lumbricidae";"Lumbricinae";"Achaeta";"Achaeta iberica";"Amynthas";"Megascolecidae";"Microscolex";"Microscolex dubius";"Microscolex phosphoreus";"Naididae";"Eukerria";"Eukerria saltensis";"Ocnerodrilidae";"Lumbricina";"Oligochaeta"
"CpUt_35Aqu";"CpUt";1;"147.15";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EvEx_15Aqu";"EvEx";1;"159.16";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_01Bou";"CpPl";3;"37.3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_02Bou";"CpPl";3;"45.7";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0
"CpPl_03Bou";"CpPl";3;"104.9";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"CpUt_01Bou";"CpUt";3;"119.8";0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_02Bou";"CpUt";3;"46.3";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_03Bou";"CpUt";3;"237.6";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"CpUt_04Bou";"CpUt";3;"103.6";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"CpUt_05Bou";"CpUt";3;"33.6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"EvEx_01Bou";"EvEx";3;"30.52";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
